Matricula;Cod;Data Inicio;Hora Inicio;Data Fim;Hora Fim
032451;164;13/02/2025;00:00;13/04/2025;24:00
033564;172;02/01/2025;00:00;03/01/2025;24:00
033454;172;02/01/2025;00:00;03/01/2025;24:00
028750;115;02/01/2025;00:00;01/01/2027;24:00
033743;279;02/01/2025;00:00;02/01/2025;24:00
029814;279;07/01/2025;00:00;07/01/2025;24:00
029796;279;07/01/2025;00:00;07/01/2025;24:00
029255;279;07/01/2025;00:00;07/01/2025;24:00
028406;169;06/01/2025;00:00;06/01/2025;24:00
030948;169;06/01/2025;00:00;06/01/2025;24:00
033681;167;07/01/2025;00:00;08/01/2025;24:00
029802;169;28/01/2025;00:00;30/01/2025;24:00
029802;172;31/01/2025;00:00;31/01/2025;24:00
029802;172;03/02/2025;00:00;04/02/2025;24:00
021061;292;03/01/2025;00:00;03/01/2025;24:00
032758;140;02/01/2025;00:00;15/01/2025;24:00
030946;166;02/01/2025;00:00;03/01/2025;24:00
033557;279;02/01/2025;00:00;02/01/2025;24:00
033753;279;03/01/2025;00:00;03/01/2025;24:00
030928;169;01/01/2025;00:00;02/01/2025;24:00
031003;279;08/01/2025;00:00;08/01/2025;24:00
022530;169;09/01/2025;00:00;09/01/2025;24:00
033842;169;08/01/2025;00:00;08/01/2025;24:00
033707;166;08/01/2025;00:00;06/02/2025;24:00
032537;279;07/01/2025;00:00;07/01/2025;24:00
033412;279;08/01/2025;00:00;08/01/2025;24:00
033828;279;08/01/2025;00:00;08/01/2025;24:00
033554;279;10/01/2025;00:00;10/01/2025;24:00
032537;169;08/01/2025;00:00;08/01/2025;24:00
026047;279;13/01/2025;00:00;13/01/2025;24:00
033552;169;07/01/2025;00:00;07/01/2025;24:00
030944;169;08/01/2025;00:00;08/01/2025;24:00
031806;169;10/01/2025;00:00;10/01/2025;24:00
031251;172;10/01/2025;00:00;10/01/2025;24:00
030944;172;16/01/2025;00:00;17/01/2025;24:00
003381;279;15/01/2025;00:00;15/01/2025;24:00
003381;279;14/01/2025;00:00;14/01/2025;24:00
029675;173;10/01/2025;00:00;10/01/2025;24:00
029675;279;08/01/2025;00:00;08/01/2025;24:00
033807;167;05/01/2025;00:00;06/01/2025;24:00
028463;166;08/01/2025;00:00;09/01/2025;24:00
033462;166;07/01/2025;00:00;18/01/2025;24:00
033740;167;06/01/2025;00:00;07/01/2025;24:00
031003;169;14/01/2025;00:00;14/01/2025;24:00
031256;166;06/01/2025;00:00;04/07/2025;24:00
033301;166;02/01/2025;00:00;06/01/2025;24:00
029427;279;07/01/2025;00:00;07/01/2025;24:00
031253;169;06/01/2025;00:00;06/01/2025;24:00
031253;169;02/01/2025;00:00;02/01/2025;24:00
028453;169;02/01/2025;00:00;02/01/2025;24:00
031542;172;20/01/2025;00:00;23/01/2025;24:00
029806;279;13/01/2025;00:00;13/01/2025;24:00
029814;279;10/01/2025;00:00;10/01/2025;24:00
033542;279;13/01/2025;00:00;13/01/2025;24:00
031004;169;15/01/2025;00:00;15/01/2025;24:00
030938;279;13/01/2025;00:00;13/01/2025;24:00
011791;166;06/01/2025;00:00;13/01/2025;24:00
013484;172;17/01/2025;00:00;17/01/2025;24:00
029790;169;10/01/2025;00:00;10/01/2025;24:00
033584;107;09/01/2025;00:00;08/05/2025;24:00
033051;167;08/01/2025;00:00;15/01/2025;24:00
031325;167;08/01/2025;00:00;15/01/2025;24:00
031590;167;09/01/2025;00:00;09/01/2025;24:00
032787;166;13/01/2025;00:00;14/01/2025;24:00
033596;115;01/01/2025;00:00;30/12/2028;24:00
031520;279;15/01/2025;00:00;15/01/2025;24:00
029740;279;13/01/2025;00:00;13/01/2025;24:00
028796;169;15/01/2025;00:00;15/01/2025;24:00
033732;169;13/01/2025;00:00;17/01/2025;24:00
033732;169;09/01/2025;00:00;10/01/2025;24:00
033355;169;10/01/2025;00:00;10/01/2025;24:00
033717;285;13/01/2025;00:00;14/01/2025;24:00
028796;172;17/01/2025;00:00;17/01/2025;24:00
031003;169;17/01/2025;00:00;17/01/2025;24:00
032758;140;16/01/2025;00:00;29/01/2025;24:00
033641;105;06/01/2025;00:00;07/04/2025;24:00
033723;140;06/01/2025;00:00;10/01/2025;24:00
029796;166;15/01/2025;00:00;17/01/2025;24:00
033652;140;15/01/2025;00:00;19/01/2025;24:00
033561;140;13/01/2025;00:00;15/01/2025;24:00
029732;166;13/01/2025;00:00;14/01/2025;24:00
033721;140;16/01/2025;00:00;20/01/2025;24:00
028400;279;16/01/2025;00:00;16/01/2025;24:00
032868;279;16/01/2025;00:00;16/01/2025;24:00
013417;279;17/01/2025;00:00;17/01/2025;24:00
033606;169;17/01/2025;00:00;17/01/2025;24:00
033815;169;17/01/2025;00:00;17/01/2025;24:00
033648;279;13/01/2025;00:00;13/01/2025;24:00
033051;368;16/01/2025;00:00;17/01/2025;24:00
016165;172;17/01/2025;00:00;17/01/2025;24:00
029712;173;10/01/2025;00:00;10/01/2025;24:00
031520;173;10/01/2025;00:00;10/01/2025;24:00
028752;279;14/01/2025;00:00;14/01/2025;24:00
031126;279;14/01/2025;00:00;14/01/2025;24:00
031126;279;09/01/2025;00:00;09/01/2025;24:00
033575;279;16/01/2025;00:00;16/01/2025;24:00
018150;279;17/01/2025;00:00;17/01/2025;24:00
033304;169;17/01/2025;00:00;17/01/2025;24:00
030268;279;17/01/2025;00:00;17/01/2025;24:00
031407;279;17/01/2025;00:00;17/01/2025;24:00
029391;169;20/01/2025;00:00;20/01/2025;24:00
031606;169;16/01/2025;00:00;16/01/2025;24:00
032923;177;14/01/2025;00:00;12/07/2025;24:00
013662;369;01/02/2025;00:00;27/12/2025;24:00
013697;166;31/01/2025;00:00;23/03/2025;24:00
028569;166;31/01/2025;00:00;06/02/2025;24:00
028505;115;03/02/2025;00:00;02/02/2026;24:00
